superficie,habitaciones,antiguedad,precio,ubicacion_rural,ubicacion_urbano
56.0,5.0,40,144152.0,False,True
223.0,1.0,38,224954.0,False,True
190.0,2.0,3,240055.0,False,True
217.0,1.0,12,227654.0,True,False
219.0,7.0,48,350236.0,True,False
442.0,1.0,1,456542.0,False,True
483.0,7.0,4,626966.0,True,False
332.0,4.0,43,384770.0,False,True
171.0,6.0,26,288908.0,True,False
243.0,3.0,31,283023.0,True,False
54.0,7.0,20,183991.0,False,True
78.0,5.0,7,165275.0,False,True
214.0,1.0,37,207765.0,False,True
471.0,7.0,7,606959.0,True,False
388.0,5.0,49,460173.0,True,False
185.0,6.0,2,311056.0,True,False
414.0,3.0,43,439114.0,False,True
370.0,1.0,0,406020.0,False,True
391.0,2.0,21,407915.0,True,False
194.0,1.0,5,214655.0,False,True
376.0,4.0,1,452464.0,True,False
266.0,7.0,22,412726.0,False,True
350.0,4.0,43,405544.0,False,True
181.0,3.0,1,258044.0,False,True
341.0,1.0,4,375252.0,False,True
119.0,5.0,0,202832.0,True,False
301.0,2.0,34,329275.0,False,True
464.0,7.0,33,582401.0,True,False
324.0,2.0,22,371213.0,True,False
494.0,7.0,29,633648.0,True,False
413.0,1.0,7,432418.0,False,True
231.0,7.0,21,360040.0,True,False
216.0,2.0,43,226080.0,True,False
140.0,5.0,35,240902.0,True,False
251.0,6.0,4,387578.0,False,True
395.0,2.0,12,433917.0,False,True
88.0,6.0,30,183179.0,False,True
175.0,7.0,0,307251.0,True,False
222.0,5.0,15,313993.0,False,False
190.0,7.0,9,334966.0,False,True
291.0,1.0,29,306706.0,True,False
269.0,3.0,15,321124.0,False,True
175.0,2.0,11,216064.0,False,True
107.0,3.0,16,161412.0,True,False
197.0,7.0,15,337490.0,False,True
366.0,5.0,11,476017.0,False,True
432.0,2.0,7,461656.0,True,False
410.0,7.0,19,543564.0,False,False
472.0,3.0,2,536711.0,False,True
50.0,4.0,15,132606.0,False,True
436.0,7.0,29,558089.0,True,False
397.0,3.0,4,462736.0,False,True
239.0,2.0,22,268975.0,False,True
240.0,3.0,27,302718.0,False,True
418.0,2.0,39,425714.0,False,True
274.5,7.0,4,248581.0,False,True
361.0,1.0,19,371695.0,False,True
466.0,6.0,39,573627.0,False,True
471.0,7.0,43,574641.0,True,False
166.0,3.0,0,234884.0,True,False
183.0,4.0,29,253385.0,True,False
107.0,4.0,20,159708.0,True,False
93.0,5.0,19,181875.0,True,False
222.0,2.0,5,254588.0,False,True
209.0,3.0,21,248514.0,False,True
222.0,5.0,17,296773.0,False,True
366.0,3.0,7,439806.0,False,True
352.0,2.0,38,383881.0,True,False
198.0,7.0,31,333986.0,False,True
129.0,7.0,32,245541.0,False,True
423.0,4.0,15,484212.0,True,False
262.0,7.0,11,385668.0,False,True
252.0,7.0,37,357051.0,False,False
301.0,1.0,33,296797.0,True,False
278.0,4.0,13,358628.0,False,True
213.0,5.0,0,295832.0,False,True
276.0,6.0,0,404483.0,False,True
196.0,1.0,22,207063.0,False,True
69.0,5.0,49,147463.0,False,True
490.0,2.0,44,501422.0,True,False
96.0,5.0,40,167156.0,True,False
282.0,2.0,20,303108.0,True,False
354.0,4.0,1,445345.0,True,False
63.0,6.0,26,152800.0,False,False
192.0,2.0,8,246078.0,False,True
464.0,7.0,0,586610.0,True,False
50.0,3.0,10,97067.0,True,False
422.0,2.0,2,474872.0,False,True
423.0,6.0,25,540066.0,True,False
308.0,3.0,3,376283.0,False,True
193.0,7.0,17,325083.0,True,False
490.0,5.0,5,587738.0,False,True
61.0,5.0,34,131263.0,True,False
379.0,2.0,21,390414.0,False,True
273.0,3.0,42,315749.0,False,True
321.0,3.0,14,373456.0,True,False
407.0,7.0,21,542082.0,True,False
457.0,6.0,36,539406.0,False,True
205.0,4.0,41,258189.0,True,False
422.0,5.0,11,529434.0,True,False
57.0,6.0,46,167276.0,False,True
171.0,1.0,48,183432.0,True,False
397.0,5.0,41,476373.0,True,False
213.0,6.0,37,307550.0,False,True
139.0,5.0,17,211180.0,False,True
185.0,4.0,44,241908.0,True,False
235.0,1.0,34,236504.0,False,True
365.0,4.0,29,432144.0,False,True
227.0,7.0,23,372625.0,True,False
77.0,1.0,0,78363.0,False,True
269.0,2.0,29,309560.0,False,True
406.0,6.0,13,501038.0,True,False
90.0,1.0,5,123676.0,True,False
277.0,7.0,2,421675.0,False,True
241.0,3.0,15,291787.0,False,True
460.0,4.0,6,517174.0,True,False
496.0,5.0,13,596232.0,False,True
194.0,1.0,8,224998.0,False,True
250.0,6.0,14,380055.0,False,True
466.0,1.0,20,468112.0,True,False
261.0,3.0,34,323874.0,False,True
269.0,5.0,1,358189.0,False,True
289.0,6.0,26,395555.0,True,False
462.0,6.0,1,595419.0,False,True
446.0,2.0,34,456619.0,False,True
95.0,4.0,17,152533.0,True,False
84.0,3.0,13,122446.0,True,False
302.0,6.0,19,417118.0,True,False
439.0,5.0,17,545175.0,True,False
131.0,1.0,9,162758.0,False,True
420.0,1.0,24,426919.0,False,True
274.5,5.0,1,183673.0,True,False
246.0,6.0,24,360400.0,True,False
274.5,7.0,32,208769.0,False,True
458.0,1.0,35,478064.0,False,True
499.0,7.0,30,618211.0,False,True
59.0,1.0,13,75755.0,True,False
361.0,1.0,0,388962.0,False,True
335.0,4.0,45,391856.0,True,False
291.0,4.0,15,363806.0,True,False
300.0,3.0,45,322497.0,False,True
414.0,2.0,2,450376.0,True,False
54.0,5.0,34,155055.0,False,True
168.0,5.0,40,238578.0,False,True
338.0,5.0,5,434124.0,False,True
423.0,3.0,24,490194.0,False,True
114.0,4.0,12,168389.0,False,True
195.0,6.0,33,312267.0,True,False
273.0,7.0,0,394855.0,True,False
288.0,7.0,20,411794.0,False,True
226.0,6.0,33,345031.0,True,False
316.0,3.0,3,359486.0,True,False
390.0,6.0,24,510298.0,True,False
331.0,5.0,14,405481.0,True,False
112.0,2.0,3,134231.0,True,False
266.0,1.0,44,260835.0,True,False
391.0,7.0,11,533298.0,False,True
364.0,4.0,31,434613.0,False,True
332.0,4.0,31,395977.0,True,False
226.0,3.0,27,269766.0,True,False
466.0,4.0,12,540792.0,False,True
147.0,5.0,30,232452.0,True,False
154.0,7.0,13,279389.0,False,True
148.0,6.0,19,262835.0,False,True
434.0,5.0,17,516754.0,False,True
454.0,3.0,28,501074.0,True,False
360.0,5.0,5,448942.0,False,True
55.0,6.0,31,176827.0,True,False
246.0,2.0,28,268199.0,False,True
400.0,3.0,42,426291.0,True,False
182.0,2.0,1,201612.0,True,False
407.0,1.0,22,417515.0,True,False
308.0,2.0,0,347581.0,False,True
486.0,1.0,0,512500.0,False,True
72.0,1.0,4,102026.0,True,False
102.0,4.0,18,149523.0,True,False
274.5,3.0,33,124924.0,True,False
251.0,6.0,0,370552.0,False,True
132.0,5.0,24,210808.0,False,True
194.0,5.0,1,312311.0,False,True
134.0,6.0,10,235989.0,False,True
127.0,7.0,49,246120.0,False,True
415.0,7.0,30,559029.0,True,False
50.0,1.0,14,43887.0,False,True
100.0,1.0,1,132302.0,False,True
222.0,3.0,22,270488.0,True,False
254.0,4.0,0,344013.0,False,True
309.0,2.0,8,341402.0,False,True
495.0,1.0,34,499205.0,True,False
498.0,5.0,20,594049.0,False,True
418.0,3.0,8,466253.0,False,True
337.0,2.0,27,362490.0,False,True
83.0,3.0,45,108346.0,True,False
397.0,2.0,0,442027.0,False,True
144.0,2.0,15,195700.0,False,True
274.5,6.0,15,196265.0,True,False
88.0,1.0,32,87950.0,True,False
203.0,3.0,3,251241.0,True,False
299.0,3.0,3,360242.0,False,True
211.0,6.0,38,316703.0,True,False
487.0,5.0,39,586209.0,False,True
167.0,5.0,16,276623.0,False,True
308.0,7.0,0,450931.0,False,True
428.0,1.0,9,456080.0,True,False
355.0,1.0,28,356166.0,True,False
317.0,4.0,35,388740.0,True,False
498.0,6.0,37,605491.0,True,False
103.0,5.0,38,202556.0,True,False
285.0,2.0,49,313469.0,False,True
438.0,3.0,36,470561.0,False,True
271.0,1.0,34,270901.0,False,True
300.0,3.0,6,367020.0,False,True
362.0,3.0,26,414917.0,True,False
450.0,3.0,27,478488.0,False,True
161.0,5.0,21,244756.0,False,False
304.0,1.0,13,319692.0,True,False
352.0,3.0,6,417230.0,True,False
456.0,1.0,36,477930.0,False,True
256.0,2.0,21,288125.0,False,True
278.0,4.0,4,348088.0,True,False
390.0,3.0,1,443614.0,True,False
447.0,1.0,26,472401.0,False,True
115.0,7.0,20,230755.0,False,True
124.0,1.0,37,116325.0,False,True
484.0,5.0,14,579693.0,True,False
152.0,3.0,20,186117.0,False,True
471.0,3.0,9,531229.0,False,True
241.0,2.0,0,293182.0,True,False
301.0,4.0,38,370890.0,True,False
275.0,7.0,4,422340.0,True,False
343.0,6.0,0,444518.0,True,False
355.0,3.0,12,419949.0,True,False
147.0,5.0,8,253547.0,False,True
387.0,2.0,25,410846.0,False,True
335.0,2.0,49,333100.0,True,False
384.0,6.0,44,491267.0,True,False
396.0,5.0,20,502322.0,False,True
274.5,4.0,17,178490.0,True,False
496.0,5.0,36,574193.0,True,False
274.5,4.0,44,168109.0,False,True
298.0,3.0,31,341733.0,False,True
215.0,5.0,35,293694.0,False,True
384.0,1.0,16,410510.0,False,True
79.0,2.0,34,83306.0,True,False
296.0,5.0,48,355849.0,False,False
155.0,3.0,1,207860.0,True,False
100.0,5.0,20,199231.0,True,False
130.0,3.0,25,194463.0,True,False
